Student Database:

ID: 0, First Name: John, Last Name: Doe, DOB: 12/5/2000 12:00:00 AM, Major: CIS, Classes: Home Ec, WebDev, Welding, Biology, Enrolled: True

ID: 0, First Name: John, Last Name: Doe, DOB: 12/5/2000 12:00:00 AM, Major: CIS, Classes: Home Ec, WebDev, Welding, Biology, Enrolled: True

ID: 0, First Name: John, Last Name: Doe, DOB: 12/5/2000 12:00:00 AM, Major: CIS, Classes: Home Ec, WebDev, Welding, Biology, Enrolled: True

ID: 0, First Name: John, Last Name: Doe, DOB: 12/5/2000 12:00:00 AM, Major: CIS, Classes: Home Ec, WebDev, Welding, Biology, Enrolled: True

ID: 0, First Name: John, Last Name: Doe, DOB: 12/5/2000 12:00:00 AM, Major: CIS, Classes: Home Ec, WebDev, Welding, Biology, Enrolled: True

ID: 987936, First Name: Logan, Last Name: Hoover, DOB: 10/22/2005 12:00:00 AM, Major: CIS, Classes: Intro to Programming, WebDev1, ContempMath, DigitalLiteracy, Enrolled: True

ID: 543678, First Name: Terry, Last Name: Prattchet, DOB: 12/15/1915 12:00:00 AM, Major: N/A, Classes: N/A, Enrolled: False

ID: 9789321, First Name: Charles, Last Name: Cheese, DOB: 1/1/1999 12:00:00 AM, Major: BIS, Classes: Mouse Practice, Realestate, Enrolled: True

ID: 876123, First Name: Tim, Last Name: Drake, DOB: 4/23/1981 12:00:00 AM, Major: BAT, Classes: Robin101, Enrolled: True

ID: 879342, First Name: Fredrick, Last Name: Jones, DOB: 7/11/2001 12:00:00 AM, Major: MTH, Classes: Algebra, Finance, Enrolled: True
