Student Database:

ID: 0, First Name: John, Last Name: Doe, DOB: 12/5/2000 12:00:00 AM, Major: CIS, Classes: System.Collections.Generic.List`1[System.String], Enrolled: True
ID: 0, First Name: John, Last Name: Doe, DOB: 12/5/2000 12:00:00 AM, Major: CIS, Classes: System.Collections.Generic.List`1[System.String], Enrolled: True
ID: 0, First Name: John, Last Name: Doe, DOB: 12/5/2000 12:00:00 AM, Major: CIS, Classes: System.Collections.Generic.List`1[System.String], Enrolled: True
ID: 0, First Name: John, Last Name: Doe, DOB: 12/5/2000 12:00:00 AM, Major: CIS, Classes: System.Collections.Generic.List`1[System.String], Enrolled: True
ID: 0, First Name: John, Last Name: Doe, DOB: 12/5/2000 12:00:00 AM, Major: CIS, Classes: System.Collections.Generic.List`1[System.String], Enrolled: True
ID: 0, First Name: John, Last Name: Doe, DOB: 12/5/2000 12:00:00 AM, Major: CIS, Classes: 4, Enrolled: True

ID: 0, First Name: John, Last Name: Doe, DOB: 12/5/2000 12:00:00 AM, Major: CIS, Classes: 4, Enrolled: True

ID: 0, First Name: John, Last Name: Doe, DOB: 12/5/2000 12:00:00 AM, Major: CIS, Classes: 4, Enrolled: True

ID: 0, First Name: John, Last Name: Doe, DOB: 12/5/2000 12:00:00 AM, Major: CIS, Classes: 4, Enrolled: True

ID: 0, First Name: John, Last Name: Doe, DOB: 12/5/2000 12:00:00 AM, Major: CIS, Classes: 4, Enrolled: True

